,name,github_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,sourcerank,show,sourcerank_placing,license
111,SMART,RTIInternational/SMART,data-labeling,https://github.com/RTIInternational/SMART,https://github.com/RTIInternational/SMART,2018-09-27 18:53:25+00:00,2019-09-20 14:04:45+00:00,2019-09-20 14:04:44+00:00,9.0,5.0,4.0,65,845.0,2018-10-24 15:22:29+00:00,1.0.0,,,1.0,Smarter Manual Annotation for Resource-constrained collection of..,,,8,12,False,2,MIT
112,ai-lab,NVAITC/ai-lab,dev-environments,https://github.com/NVAITC/ai-lab,https://github.com/NVAITC/ai-lab,2018-09-15 12:44:21+00:00,2019-10-13 09:15:36+00:00,2019-10-13 09:15:21+00:00,7.0,5.0,15.0,63,244.0,2019-10-13 08:09:42+00:00,19.09,,,2.0,All-in-one AI container for rapid prototyping.,,,5,12,False,3,GPL-3.0
113,conquery,bakdata/conquery,db-gui,https://github.com/bakdata/conquery,https://github.com/bakdata/conquery,2017-07-12 05:52:05+00:00,2019-11-08 16:36:41+00:00,2019-11-06 10:27:55+00:00,5.0,84.0,55.0,18,247.0,2019-11-01 15:09:13+00:00,2.0.0-RC77,29.0,1.0,100.0,"Visual, interactive queries against big databases.",,,18,12,False,1,MIT
114,dl-docker,floydhub/dl-docker,dev-environments,https://github.com/floydhub/dl-docker,https://github.com/floydhub/dl-docker,2016-06-04 18:42:28+00:00,2019-08-21 20:18:27+00:00,2018-08-23 20:05:29+00:00,781.0,63.0,26.0,3667,53.0,,,,,,An all-in-one Docker image for deep learning. Contains all the..,,,11,11,False,3,
115,labnotebook,henripal/labnotebook,others,https://github.com/henripal/labnotebook,https://github.com/henripal/labnotebook,2018-02-20 20:17:48+00:00,2018-03-31 02:06:31+00:00,2018-03-29 14:14:25+00:00,38.0,5.0,8.0,527,43.0,,,,,,"LabNotebook is a tool that allows you to flexibly monitor, record,..",,,3,11,False,3,MIT
116,YEDDA,jiesutd/YEDDA,data-labeling,https://github.com/jiesutd/YEDDA,https://github.com/jiesutd/YEDDA,2016-01-08 07:33:27+00:00,2019-07-31 15:05:07+00:00,2019-07-31 15:05:00+00:00,147.0,5.0,21.0,478,115.0,,,,,,YEDDA: A Lightweight Collaborative Text Span Annotation Tool. Code..,,,3,11,True,3,Apache-2.0
117,derby,apache/derby,data-storage,https://github.com/apache/derby,https://github.com/apache/derby,2011-06-19 07:00:34+00:00,2019-08-18 23:22:01+00:00,2019-08-18 23:21:51+00:00,104.0,3.0,,200,,,,,,,Mirror of Apache Derby.,,,38,11,True,3,Apache-2.0
118,incubator-annotator,apache/incubator-annotator,data-labeling,https://github.com/apache/incubator-annotator,https://github.com/apache/incubator-annotator,2016-12-06 08:00:07+00:00,2019-11-06 22:02:41+00:00,2019-11-06 22:02:30+00:00,20.0,11.0,23.0,72,303.0,,,,,,"Apache Annotator provides annotation enabling code for browsers,..",,,6,11,False,3,Apache-2.0
119,FastAnnotationTool,christopher5106/FastAnnotationTool,data-labeling,https://github.com/christopher5106/FastAnnotationTool,https://github.com/christopher5106/FastAnnotationTool,2016-06-24 13:30:22+00:00,2019-01-17 11:05:33+00:00,2019-01-17 11:05:32+00:00,200.0,7.0,2.0,829,59.0,,,,,,"A tool using OpenCV to annotate images for image classification,..",,,4,10,False,3,
120,talen,CogComp/talen,data-labeling,https://github.com/CogComp/talen,https://github.com/CogComp/talen,2016-05-25 22:20:39+00:00,2019-11-02 20:39:14+00:00,2019-07-16 17:16:34+00:00,19.0,9.0,9.0,93,298.0,,,,,1.0,A way to do annotations for NER.,,,4,9,False,3,
121,turkey,yanfengliu/turkey,data-labeling,https://github.com/yanfengliu/turkey,https://github.com/yanfengliu/turkey,2018-09-30 02:18:21+00:00,2019-07-26 03:18:03+00:00,2019-07-24 04:16:46+00:00,1.0,,,46,102.0,,,,,,Easily create a web UI on Amazon Mechanical Turk to crowd-source..,,,2,7,False,3,MIT
122,notebooks,rlan/notebooks,dev-environments,https://github.com/rlan/notebooks,https://github.com/rlan/notebooks,2018-04-06 00:33:00+00:00,2019-10-31 13:09:53+00:00,2019-10-31 13:09:47+00:00,,4.0,42.0,15,147.0,,,,,,A docker starter kit for Jupyter notebooks and machine learning...,,,1,7,False,3,MIT
