,name,github_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,license,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,helm_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,brew_id,go_id,npm_id,npm_url,npm_latest_release_published_at,npm_monthly_downloads
61,goaccess,allinurl/goaccess,event-analytics,https://github.com/allinurl/goaccess,https://github.com/allinurl/goaccess,2013-07-14 03:42:08+00:00,2019-10-30 13:55:22+00:00,2019-10-30 13:55:21+00:00,703.0,262.0,1139.0,10128,2909.0,,,,,,GoAccess is a real-time web log analyzer and interactive viewer that..,,,103,18,True,3,MIT,,,,,,,,,,,,,,,,
62,memcached,memcached/memcached,data-storage,https://github.com/memcached/memcached,https://github.com/memcached/memcached,2009-04-24 23:34:25+00:00,2019-11-09 22:30:23+00:00,2019-10-01 01:42:33+00:00,2665.0,53.0,223.0,9468,1566.0,,,,,,memcached development tree.,,,193,18,False,3,,,,,,,,,,,,,,,,,
63,core,owncloud/core,others,https://github.com/owncloud/core,https://github.com/owncloud/core,2012-08-25 10:32:48+00:00,2019-11-09 09:58:54+00:00,2019-11-08 16:41:57+00:00,1920.0,1520.0,16820.0,6841,41377.0,,,,,,"ownCloud web server core (Files, DAV, etc.).",,,584,18,False,3,,,,,,,,,,,,,,,,,
64,summingbird,twitter/summingbird,others,https://github.com/twitter/summingbird,https://github.com/twitter/summingbird,2012-09-25 22:38:35+00:00,2019-06-06 17:24:18+00:00,2019-02-11 23:10:34+00:00,264.0,161.0,134.0,2058,1701.0,2016-06-23 21:16:10+00:00,0.11.0-RC1,,,24.0,Streaming MapReduce with Scalding and Storm.,,,42,18,True,3,Apache-2.0,,,,,,,,,,,,,,,,
65,voltdb,VoltDB/voltdb,data-storage,https://github.com/VoltDB/voltdb,https://github.com/VoltDB/voltdb,2011-09-23 18:46:12+00:00,2019-11-09 22:33:56+00:00,2019-11-07 16:35:11+00:00,379.0,74.0,,1486,27046.0,,,,,,VoltDB.,,,184,18,False,3,AGPL-3.0,,,,,,,,,,,,,,,,
66,Kala,ajvb/kala,job-scheduler,https://github.com/ajvb/kala,https://github.com/ajvb/kala,2015-03-19 04:24:19+00:00,2019-11-02 20:55:06+00:00,2019-02-11 23:48:06+00:00,122.0,15.0,88.0,1373,410.0,2018-04-03 14:02:48.975000+00:00,0.4.0,,23.0,4.0,Modern Job Scheduler.,,,34,18,True,3,MIT,,,,,,,,,,,,github.com/ajvb/kala,kala-node,https://www.npmjs.com/package/kala-node,2018-04-03 14:02:48.975000+00:00,23.0
67,fx,metrue/fx,faas,https://github.com/metrue/fx,https://github.com/metrue/fx,2017-10-21 04:43:44+00:00,2019-11-09 11:16:50+00:00,2019-11-02 00:45:15+00:00,63.0,44.0,65.0,1298,612.0,2019-11-02 01:01:24+00:00,0.8.0-alpha.9de10bc,1859.0,118.0,100.0,fx is a framework to help you do Function as a Service with painless..,,,20,18,True,3,MIT,,,,,,metrue/fx-docker,https://hub.docker.com/r/metrue/fx-docker,2019-10-16 03:22:12.356143+00:00,,956.0,,,,,,
68,griddb_nosql,griddb/griddb_nosql,data-storage,https://github.com/griddb/griddb_nosql,https://github.com/griddb/griddb_nosql,2016-02-24 06:31:40+00:00,2019-11-05 19:24:30+00:00,2019-10-31 06:23:47+00:00,1921.0,20.0,112.0,1023,182.0,2019-06-27 10:19:09+00:00,4.2.1,14023.0,350.0,10.0,"high performance, high scalability and high reliability database for..",,,7,18,False,3,,,,,,,,,,,,,,,,,
69,carbondata,apache/carbondata,data-storage,https://github.com/apache/carbondata,https://github.com/apache/carbondata,2016-06-28 07:00:06+00:00,2019-11-08 19:53:08+00:00,2019-11-05 06:45:41+00:00,568.0,136.0,,980,4281.0,,,,,,Mirror of Apache CarbonData.,3.0,3.0,189,18,True,3,Apache-2.0,,,,,,,,,,,,,,,,
70,hugegraph,hugegraph/hugegraph,data-storage,https://github.com/hugegraph/hugegraph,https://github.com/hugegraph/hugegraph,2018-07-18 03:30:20+00:00,2019-11-09 06:13:41+00:00,2019-11-08 06:13:12+00:00,133.0,198.0,302.0,855,1017.0,2019-11-08 06:33:18+00:00,0.10.4,6103.0,406.0,5.0,"HugeGraph Database core component, including graph engine, API, and..",,,15,18,True,3,Apache-2.0,,,,,,,,,,,,,,,,
