,name,github_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,pypi_id,license,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,helm_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,brew_id,go_id,npm_id,npm_url,npm_latest_release_published_at,npm_monthly_downloads
51,flyway,flyway/flyway,others,https://github.com/flyway/flyway,https://github.com/flyway/flyway,2012-12-14 18:43:22+00:00,2019-11-11 12:00:30+00:00,2019-11-11 11:33:09+00:00,968.0,202.0,1992.0,4600,2299.0,2019-10-30 14:57:27+00:00,flyway-6.0.8,,,40.0,Flyway by Boxfuse Database Migrations Made Easy.,18.0,18.0,139,19,False,2,,,,,,,,,,,,,,,,,,
52,kryo,EsotericSoftware/kryo,data-serialization,https://github.com/EsotericSoftware/kryo,https://github.com/EsotericSoftware/kryo,2013-11-06 13:24:03+00:00,2019-10-09 19:11:48+00:00,2019-07-07 14:23:02+00:00,694.0,34.0,522.0,4353,1019.0,2019-04-14 19:43:49+00:00,kryo-parent-5.0.0-RC4,14978.0,208.0,14.0,"Java binary serialization and cloning: fast, efficient, automatic.",,,69,19,True,3,,BSD-3-Clause,,,,,,,,,,,,,,,,
53,tarantool,tarantool/tarantool,data-storage,https://github.com/tarantool/tarantool,https://github.com/tarantool/tarantool,2010-09-15 07:59:26+00:00,2019-11-11 15:32:33+00:00,2019-11-11 06:31:00+00:00,203.0,865.0,3567.0,2255,13410.0,2019-11-06 15:13:05+00:00,2.1.3,434.0,7.0,22.0,Get your data in RAM. Get compute close to data. Enjoy the performance.,,,123,19,False,3,,,,,,,,,,,,,,,,,,
54,sphinx,sphinxsearch/sphinx,data-storage,https://github.com/sphinxsearch/sphinx,https://github.com/sphinxsearch/sphinx,2015-06-06 19:15:17+00:00,2018-03-30 15:41:40+00:00,2018-03-30 15:41:40+00:00,338.0,20.0,,1557,4512.0,2016-09-08 15:54:25+00:00,2.3.2-beta,9854.0,197.0,3.0,Sphinx search server.,,,27,19,False,3,,GPL-2.0,,,,,,,,,,,,,,,,
55,VictoriaMetrics,VictoriaMetrics/VictoriaMetrics,data-storage,https://github.com/VictoriaMetrics/VictoriaMetrics,https://github.com/VictoriaMetrics/VictoriaMetrics,2018-09-30 09:58:01+00:00,2019-11-11 11:22:07+00:00,2019-11-11 11:21:57+00:00,78.0,57.0,106.0,1361,512.0,2019-11-05 16:16:43+00:00,1.28.3,4830.0,439.0,100.0,"VictoriaMetrics - high-performance, cost-effective and scalable time series database, long-term remote storage for..",,,12,19,True,3,,Apache-2.0,,,,,,,,,,,,,,,,
56,elassandra,strapdata/elassandra,data-storage,https://github.com/strapdata/elassandra,https://github.com/strapdata/elassandra,2015-08-22 13:52:08+00:00,2019-10-23 19:45:21+00:00,2019-10-23 19:45:11+00:00,152.0,16.0,274.0,1326,,2019-10-18 20:21:25+00:00,6.2.3.21,12000.0,250.0,84.0,Elassandra = Elasticsearch + Apache Cassandra.,,,1084,19,True,3,,Apache-2.0,,,,,,,,,,,,,,,,
57,parquet-mr,apache/parquet-mr,data-serialization,https://github.com/apache/parquet-mr,https://github.com/apache/parquet-mr,2014-06-10 07:00:07+00:00,2019-11-11 17:06:38+00:00,2019-10-25 23:05:58+00:00,801.0,82.0,,964,2120.0,,,,,,Apache Parquet.,49.0,49.0,148,19,True,3,,Apache-2.0,,,,,,,,,,,,,,,,
58,accumulo,apache/accumulo,data-storage,https://github.com/apache/accumulo,https://github.com/apache/accumulo,2011-10-06 07:00:09+00:00,2019-11-07 23:56:36+00:00,2019-11-07 23:56:35+00:00,302.0,147.0,275.0,761,10288.0,,,,,,Apache Accumulo.,13.0,13.0,136,19,True,3,,Apache-2.0,,,,,,,,,,,,,,,,
59,phoenix,apache/phoenix,others,https://github.com/apache/phoenix,https://github.com/apache/phoenix,2014-06-04 07:00:08+00:00,2019-11-11 20:16:43+00:00,2019-11-11 20:14:45+00:00,694.0,184.0,,717,2991.0,,,,,,Mirror of Apache Phoenix.,46.0,46.0,137,19,True,2,,Apache-2.0,,,,,,,,,,,,,,,,
60,swarm-cronjob,crazy-max/swarm-cronjob,job-scheduler,https://github.com/crazy-max/swarm-cronjob,https://github.com/crazy-max/swarm-cronjob,2018-12-13 21:16:14+00:00,2019-11-11 20:50:05.828004+00:00,2019-11-11 19:46:21+00:00,20.0,3.0,14.0,219,101.0,2019-11-11 21:00:49+00:00,1.7.1,162.0,75324.0,12.0,Create jobs on a time-based schedule on Docker Swarm.,,,3,19,True,1,,MIT,,,,,,crazymax/swarm-cronjob,https://hub.docker.com/r/crazymax/swarm-cronjob,2019-11-11 20:50:05.828004+00:00,4.0,828371.0,,,,,,
61,goaccess,allinurl/goaccess,event-analytics,https://github.com/allinurl/goaccess,https://github.com/allinurl/goaccess,2013-07-14 03:42:08+00:00,2019-10-30 13:55:22+00:00,2019-10-30 13:55:21+00:00,703.0,262.0,1140.0,10141,2909.0,,,,,,GoAccess is a real-time web log analyzer and interactive viewer that runs in a terminal in *nix systems or through..,,,103,18,True,3,,MIT,,,,,,,,,,,,,,,,
62,memcached,memcached/memcached,data-storage,https://github.com/memcached/memcached,https://github.com/memcached/memcached,2009-04-24 23:34:25+00:00,2019-11-11 09:26:35+00:00,2019-11-11 08:13:46+00:00,2665.0,53.0,226.0,9472,1581.0,,,,,,memcached development tree.,,,197,18,False,3,,,,,,,,,,,,,,,,,,
63,core,owncloud/core,others,https://github.com/owncloud/core,https://github.com/owncloud/core,2012-08-25 10:32:48+00:00,2019-11-11 17:24:05+00:00,2019-11-11 17:23:34+00:00,1920.0,1520.0,16822.0,6843,41385.0,,,,,,"ownCloud web server core (Files, DAV, etc.).",,,584,18,False,3,,,,,,,,,,,,,,,,,,
64,summingbird,twitter/summingbird,others,https://github.com/twitter/summingbird,https://github.com/twitter/summingbird,2012-09-25 22:38:35+00:00,2019-06-06 17:24:18+00:00,2019-02-11 23:10:34+00:00,264.0,161.0,134.0,2059,1701.0,2016-06-23 21:16:10+00:00,0.11.0-RC1,,,24.0,Streaming MapReduce with Scalding and Storm.,,,42,18,True,3,,Apache-2.0,,,,,,,,,,,,,,,,
65,voltdb,VoltDB/voltdb,data-storage,https://github.com/VoltDB/voltdb,https://github.com/VoltDB/voltdb,2011-09-23 18:46:12+00:00,2019-11-11 21:02:29+00:00,2019-11-11 15:31:13+00:00,380.0,74.0,,1488,27047.0,,,,,,VoltDB.,,,184,18,False,3,,AGPL-3.0,,,,,,,,,,,,,,,,
66,fx,metrue/fx,faas,https://github.com/metrue/fx,https://github.com/metrue/fx,2017-10-21 04:43:44+00:00,2019-11-11 11:11:09+00:00,2019-11-11 10:50:53+00:00,64.0,44.0,65.0,1298,615.0,2019-11-11 11:11:09+00:00,0.8.0-alpha.48413ab,1730.0,147.0,100.0,fx is a framework to help you do Function as a Service with painless on your own servers.,,,20,18,True,3,,MIT,,,,,,metrue/fx-docker,https://hub.docker.com/r/metrue/fx-docker,2019-10-16 03:22:12.356143+00:00,,1173.0,,,,,,
67,griddb_nosql,griddb/griddb_nosql,data-storage,https://github.com/griddb/griddb_nosql,https://github.com/griddb/griddb_nosql,2016-02-24 06:31:40+00:00,2019-11-05 19:24:30+00:00,2019-10-31 06:23:47+00:00,1921.0,20.0,112.0,1025,182.0,2019-06-27 10:19:09+00:00,4.2.1,14127.0,353.0,10.0,"high performance, high scalability and high reliability database for IoT & big data.",,,7,18,False,3,,,,,,,,,,,,,,,,,,
